epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
55,661.84,0.37287,0.30351,0.91018,0.74667,0.69987,0.80351,0.57754,1.1542,1.49867,1.33132,2.99066e-05,2.99066e-05,2.99066e-05
56,677.843,0.37595,0.30342,0.92765,0.74667,0.69987,0.80351,0.57754,1.1542,1.49867,1.33132,2.98125e-05,2.98125e-05,2.98125e-05
57,694.699,0.4392,0.36837,0.97631,0.64907,0.73333,0.72144,0.55833,1.15736,1.54088,1.31978,2.96948e-05,2.96948e-05,2.96948e-05
58,710.259,0.39228,0.32996,0.95307,0.64907,0.73333,0.72144,0.55833,1.15736,1.54088,1.31978,2.95535e-05,2.95535e-05,2.95535e-05
59,725.905,0.38163,0.40259,0.96268,0.64907,0.73333,0.72144,0.55833,1.15736,1.54088,1.31978,2.93887e-05,2.93887e-05,2.93887e-05
60,741.392,0.46281,0.43203,1.03322,0.30108,0.73333,0.72011,0.54216,1.20677,1.62764,1.35902,2.92003e-05,2.92003e-05,2.92003e-05
61,757.214,0.35054,0.35323,0.90697,0.30108,0.73333,0.72011,0.54216,1.20677,1.62764,1.35902,2.89884e-05,2.89884e-05,2.89884e-05
62,773.343,0.40594,0.37101,1.00716,0.30108,0.73333,0.72011,0.54216,1.20677,1.62764,1.35902,2.87529e-05,2.87529e-05,2.87529e-05
63,788.629,0.66678,0.59183,1.30178,0.30322,0.73333,0.72465,0.53333,1.17902,1.57686,1.3237,2.84938e-05,2.84938e-05,2.84938e-05
64,803.744,0.44278,0.34489,0.92261,0.30322,0.73333,0.72465,0.53333,1.17902,1.57686,1.3237,2.82112e-05,2.82112e-05,2.82112e-05
65,819.46,0.33604,0.24533,0.87638,0.30322,0.73333,0.72465,0.53333,1.17902,1.57686,1.3237,2.7905e-05,2.7905e-05,2.7905e-05
66,836.425,0.37943,0.28754,0.99524,0.29628,0.73333,0.72364,0.54332,1.19736,1.62921,1.3398,2.75753e-05,2.75753e-05,2.75753e-05
67,852.111,0.41057,0.28963,0.89263,0.29628,0.73333,0.72364,0.54332,1.19736,1.62921,1.3398,2.7222e-05,2.7222e-05,2.7222e-05
68,867.635,0.5012,0.37625,1.10938,0.29628,0.73333,0.72364,0.54332,1.19736,1.62921,1.3398,2.68451e-05,2.68451e-05,2.68451e-05
69,883.468,0.44085,0.34221,0.95378,0.32424,0.73333,0.72282,0.54604,1.18212,1.57589,1.31302,2.64447e-05,2.64447e-05,2.64447e-05
70,899.394,0.4142,0.37308,0.91882,0.32424,0.73333,0.72282,0.54604,1.18212,1.57589,1.31302,2.60207e-05,2.60207e-05,2.60207e-05
71,917.489,0.32513,0.281,0.86654,0.32424,0.73333,0.72282,0.54604,1.18212,1.57589,1.31302,2.55731e-05,2.55731e-05,2.55731e-05
