2025-11-10 13:55:58 [INFO] [Worker] Inference done | req_id=40 | Time=0.44s
2025-11-10 13:55:58 [INFO] [Worker] Running YOLO inference | req_id=41 | expId=44
2025-11-10 13:55:58 [INFO] [Receiver] Received image | req_id=46 | Queue size=5
2025-11-10 13:55:58 [INFO] [Worker] Inference done | req_id=41 | Time=0.43s
2025-11-10 13:55:58 [INFO] [Worker] Running YOLO inference | req_id=42 | expId=44
2025-11-10 13:55:58 [INFO] [Receiver] Received image | req_id=47 | Queue size=5
2025-11-10 13:55:59 [INFO] [Worker] Inference done | req_id=42 | Time=0.44s
2025-11-10 13:55:59 [INFO] [Worker] Running YOLO inference | req_id=43 | expId=44
2025-11-10 13:55:59 [INFO] [Receiver] Received image | req_id=48 | Queue size=5
2025-11-10 13:55:59 [INFO] [Worker] Inference done | req_id=43 | Time=0.43s
2025-11-10 13:55:59 [INFO] [Worker] Running YOLO inference | req_id=44 | expId=44
2025-11-10 13:55:59 [INFO] [Receiver] Received image | req_id=49 | Queue size=5
2025-11-10 13:56:00 [INFO] [Worker] Inference done | req_id=44 | Time=0.43s
2025-11-10 13:56:00 [INFO] [Worker] Running YOLO inference | req_id=45 | expId=44
2025-11-10 13:56:00 [INFO] [Receiver] Received image | req_id=50 | Queue size=5
2025-11-10 13:56:00 [INFO] [Worker] Inference done | req_id=45 | Time=0.43s
2025-11-10 13:56:00 [INFO] [Worker] Running YOLO inference | req_id=46 | expId=44
2025-11-10 13:56:00 [INFO] [Receiver] Received image | req_id=51 | Queue size=5
2025-11-10 13:56:00 [INFO] [Worker] Inference done | req_id=46 | Time=0.43s
2025-11-10 13:56:00 [INFO] [Worker] Running YOLO inference | req_id=47 | expId=44
2025-11-10 13:56:00 [INFO] [Receiver] Received image | req_id=52 | Queue size=5
2025-11-10 13:56:01 [INFO] [Worker] Inference done | req_id=47 | Time=0.44s
2025-11-10 13:56:01 [INFO] [Worker] Running YOLO inference | req_id=48 | expId=44
2025-11-10 13:56:01 [INFO] [Receiver] Received image | req_id=53 | Queue size=5
2025-11-10 13:56:01 [INFO] [Worker] Inference done | req_id=48 | Time=0.43s
2025-11-10 13:56:01 [INFO] [Worker] Running YOLO inference | req_id=49 | expId=44
2025-11-10 13:56:01 [INFO] [Receiver] Received image | req_id=54 | Queue size=5
2025-11-10 13:56:02 [INFO] [Worker] Inference done | req_id=49 | Time=0.43s
2025-11-10 13:56:02 [INFO] [Worker] Running YOLO inference | req_id=50 | expId=44
2025-11-10 13:56:02 [INFO] [Receiver] Received image | req_id=55 | Queue size=5
2025-11-10 13:56:02 [INFO] [Worker] Inference done | req_id=50 | Time=0.44s
2025-11-10 13:56:02 [INFO] [Worker] Running YOLO inference | req_id=51 | expId=44
2025-11-10 13:56:02 [INFO] [Receiver] Received image | req_id=56 | Queue size=5
2025-11-10 13:56:03 [INFO] [Worker] Inference done | req_id=51 | Time=0.43s
2025-11-10 13:56:03 [INFO] [Worker] Running YOLO inference | req_id=52 | expId=44
2025-11-10 13:56:03 [INFO] [Receiver] Received image | req_id=57 | Queue size=5
2025-11-10 13:56:03 [INFO] [Worker] Inference done | req_id=52 | Time=0.43s
2025-11-10 13:56:03 [INFO] [Worker] Running YOLO inference | req_id=53 | expId=44
2025-11-10 13:56:03 [INFO] [Receiver] Received image | req_id=58 | Queue size=5
2025-11-10 13:56:04 [INFO] [Worker] Inference done | req_id=53 | Time=0.44s
2025-11-10 13:56:04 [INFO] [Worker] Running YOLO inference | req_id=54 | expId=44
2025-11-10 13:56:04 [INFO] [Receiver] Received image | req_id=59 | Queue size=5
2025-11-10 13:56:04 [INFO] [Worker] Inference done | req_id=54 | Time=0.43s
2025-11-10 13:56:04 [INFO] [Worker] Running YOLO inference | req_id=55 | expId=44
2025-11-10 13:56:04 [INFO] [Receiver] Received image | req_id=60 | Queue size=5
2025-11-10 13:56:04 [INFO] [Worker] Inference done | req_id=55 | Time=0.44s
2025-11-10 13:56:04 [INFO] [Worker] Running YOLO inference | req_id=56 | expId=44
2025-11-10 13:56:04 [INFO] [Receiver] Received image | req_id=61 | Queue size=5
2025-11-10 13:56:05 [INFO] [Worker] Inference done | req_id=56 | Time=0.44s
2025-11-10 13:56:05 [INFO] [Worker] Running YOLO inference | req_id=57 | expId=44
2025-11-10 13:56:05 [INFO] [Receiver] Received image | req_id=62 | Queue size=5
2025-11-10 13:56:05 [INFO] [Worker] Inference done | req_id=57 | Time=0.45s
2025-11-10 13:56:05 [INFO] [Worker] Running YOLO inference | req_id=58 | expId=44
2025-11-10 13:56:05 [INFO] [Receiver] Received image | req_id=63 | Queue size=5
2025-11-10 13:56:06 [INFO] [Worker] Inference done | req_id=58 | Time=0.42s
2025-11-10 13:56:06 [INFO] [Worker] Running YOLO inference | req_id=59 | expId=44
2025-11-10 13:56:06 [INFO] [Receiver] Received image | req_id=64 | Queue size=5
2025-11-10 13:56:06 [INFO] [Worker] Inference done | req_id=59 | Time=0.43s
2025-11-10 13:56:06 [INFO] [Worker] Running YOLO inference | req_id=60 | expId=44
2025-11-10 13:56:06 [INFO] [Receiver] Received image | req_id=65 | Queue size=5
2025-11-10 13:56:07 [INFO] [Worker] Inference done | req_id=60 | Time=0.43s
2025-11-10 13:56:07 [INFO] [Worker] Running YOLO inference | req_id=61 | expId=44
2025-11-10 13:56:07 [INFO] [Receiver] Received image | req_id=66 | Queue size=5
2025-11-10 13:56:07 [INFO] [Worker] Inference done | req_id=61 | Time=0.42s
2025-11-10 13:56:07 [INFO] [Worker] Running YOLO inference | req_id=62 | expId=44
2025-11-10 13:56:07 [INFO] [Receiver] Received image | req_id=67 | Queue size=5
2025-11-10 13:56:07 [INFO] [Worker] Inference done | req_id=62 | Time=0.44s
2025-11-10 13:56:07 [INFO] [Worker] Running YOLO inference | req_id=63 | expId=44
2025-11-10 13:56:07 [INFO] [Receiver] Received image | req_id=68 | Queue size=5
2025-11-10 13:56:08 [INFO] [Worker] Inference done | req_id=63 | Time=0.43s
2025-11-10 13:56:08 [INFO] [Worker] Running YOLO inference | req_id=64 | expId=44
2025-11-10 13:56:08 [INFO] [Receiver] Received image | req_id=69 | Queue size=5
2025-11-10 13:56:08 [INFO] [Worker] Inference done | req_id=64 | Time=0.43s
2025-11-10 13:56:08 [INFO] [Worker] Running YOLO inference | req_id=65 | expId=44
2025-11-10 13:56:08 [INFO] [Receiver] Received image | req_id=70 | Queue size=5
2025-11-10 13:56:09 [INFO] [Worker] Inference done | req_id=65 | Time=0.43s
2025-11-10 13:56:09 [INFO] [Worker] Running YOLO inference | req_id=66 | expId=44
2025-11-10 13:56:09 [INFO] [Receiver] Received image | req_id=71 | Queue size=5
