2025-12-22 16:34:43 [INFO] === Starting network test ===
2025-12-22 16:35:05 [INFO] Ping to 8.8.8.8: 14.56 ms
2025-12-22 16:35:05 [INFO] Download Speed: 52.50 Mbps
2025-12-22 16:35:05 [INFO] Upload Speed: 21.17 Mbps
2025-12-22 16:35:05 [INFO] Initializing YOLO model...
2025-12-22 16:37:33 [INFO] Running iteration 3/60 | FPS=10
2025-12-22 16:37:34 [INFO] Running iteration 4/60 | FPS=10
2025-12-22 16:37:35 [INFO] Running iteration 5/60 | FPS=10
2025-12-22 16:37:36 [INFO] Running iteration 6/60 | FPS=10
2025-12-22 16:37:36 [INFO] Running iteration 7/60 | FPS=10
2025-12-22 16:37:37 [INFO] Running iteration 8/60 | FPS=10
2025-12-22 16:37:38 [INFO] Running iteration 9/60 | FPS=10
2025-12-22 16:37:39 [INFO] Running iteration 10/60 | FPS=10
2025-12-22 16:37:40 [INFO] Running iteration 11/60 | FPS=10
2025-12-22 16:37:41 [INFO] Running iteration 12/60 | FPS=10
2025-12-22 16:37:42 [INFO] Running iteration 13/60 | FPS=10
2025-12-22 16:37:43 [INFO] Running iteration 14/60 | FPS=10
2025-12-22 16:37:43 [INFO] Running iteration 15/60 | FPS=10
2025-12-22 16:37:44 [INFO] Running iteration 16/60 | FPS=10
2025-12-22 16:37:45 [INFO] Running iteration 17/60 | FPS=10
2025-12-22 16:37:46 [INFO] Running iteration 18/60 | FPS=10
2025-12-22 16:37:47 [INFO] Running iteration 19/60 | FPS=10
2025-12-22 16:37:48 [INFO] Running iteration 20/60 | FPS=10
2025-12-22 16:37:48 [INFO] Running iteration 21/60 | FPS=10
2025-12-22 16:37:49 [INFO] Running iteration 22/60 | FPS=10
2025-12-22 16:37:50 [INFO] Running iteration 23/60 | FPS=10
2025-12-22 16:37:51 [INFO] Running iteration 24/60 | FPS=10
2025-12-22 16:37:52 [INFO] Running iteration 25/60 | FPS=10
2025-12-22 16:37:53 [INFO] Running iteration 26/60 | FPS=10
2025-12-22 16:37:54 [INFO] Running iteration 27/60 | FPS=10
2025-12-22 16:37:54 [INFO] Running iteration 28/60 | FPS=10
2025-12-22 16:37:55 [INFO] Running iteration 29/60 | FPS=10
2025-12-22 16:37:56 [INFO] Running iteration 30/60 | FPS=10
2025-12-22 16:37:57 [INFO] Running iteration 31/60 | FPS=10
2025-12-22 16:37:58 [INFO] Running iteration 32/60 | FPS=10
2025-12-22 16:37:59 [INFO] Running iteration 33/60 | FPS=10
2025-12-22 16:38:00 [INFO] Running iteration 34/60 | FPS=10
2025-12-22 16:38:00 [INFO] Running iteration 35/60 | FPS=10
2025-12-22 16:38:01 [INFO] Running iteration 36/60 | FPS=10
2025-12-22 16:38:02 [INFO] Running iteration 37/60 | FPS=10
2025-12-22 16:38:03 [INFO] Running iteration 38/60 | FPS=10
2025-12-22 16:38:04 [INFO] Running iteration 39/60 | FPS=10
2025-12-22 16:38:05 [INFO] Running iteration 40/60 | FPS=10
2025-12-22 16:38:06 [INFO] Running iteration 41/60 | FPS=10
2025-12-22 16:38:07 [INFO] Running iteration 42/60 | FPS=10
2025-12-22 16:38:07 [INFO] Running iteration 43/60 | FPS=10
2025-12-22 16:38:08 [INFO] Running iteration 44/60 | FPS=10
2025-12-22 16:38:09 [INFO] Running iteration 45/60 | FPS=10
2025-12-22 16:38:10 [INFO] Running iteration 46/60 | FPS=10
2025-12-22 16:38:11 [INFO] Running iteration 47/60 | FPS=10
2025-12-22 16:38:12 [INFO] Running iteration 48/60 | FPS=10
2025-12-22 16:38:13 [INFO] Running iteration 49/60 | FPS=10
2025-12-22 16:38:13 [INFO] Running iteration 50/60 | FPS=10
2025-12-22 16:38:14 [INFO] Running iteration 51/60 | FPS=10
2025-12-22 16:38:15 [INFO] Running iteration 52/60 | FPS=10
2025-12-22 16:38:16 [INFO] Running iteration 53/60 | FPS=10
2025-12-22 16:38:17 [INFO] Running iteration 54/60 | FPS=10
2025-12-22 16:38:18 [INFO] Running iteration 55/60 | FPS=10
2025-12-22 16:38:19 [INFO] Running iteration 56/60 | FPS=10
2025-12-22 16:38:19 [INFO] Running iteration 57/60 | FPS=10
2025-12-22 16:38:20 [INFO] Running iteration 58/60 | FPS=10
2025-12-22 16:38:21 [INFO] Running iteration 59/60 | FPS=10
2025-12-22 16:38:22 [INFO] Running iteration 60/60 | FPS=10
2025-12-22 16:38:23 [INFO] === Starting FPS=20 experiment ===
2025-12-22 16:38:23 [INFO] Running iteration 1/60 | FPS=20
2025-12-22 16:38:24 [INFO] Running iteration 2/60 | FPS=20
2025-12-22 16:38:24 [INFO] Running iteration 3/60 | FPS=20
2025-12-22 16:38:25 [INFO] Running iteration 4/60 | FPS=20
2025-12-22 16:38:26 [INFO] Running iteration 5/60 | FPS=20
2025-12-22 16:38:27 [INFO] Running iteration 6/60 | FPS=20
2025-12-22 16:38:28 [INFO] Running iteration 7/60 | FPS=20
2025-12-22 16:38:28 [INFO] Running iteration 8/60 | FPS=20
2025-12-22 16:38:29 [INFO] Running iteration 9/60 | FPS=20
2025-12-22 16:38:30 [INFO] Running iteration 10/60 | FPS=20
2025-12-22 16:38:31 [INFO] Running iteration 11/60 | FPS=20
2025-12-22 16:38:32 [INFO] Running iteration 12/60 | FPS=20
2025-12-22 16:38:33 [INFO] Running iteration 13/60 | FPS=20
2025-12-22 16:38:34 [INFO] Running iteration 14/60 | FPS=20
2025-12-22 16:38:35 [INFO] Running iteration 15/60 | FPS=20
2025-12-22 16:38:35 [INFO] Running iteration 16/60 | FPS=20
2025-12-22 16:38:36 [INFO] Running iteration 17/60 | FPS=20
2025-12-22 16:38:37 [INFO] Running iteration 18/60 | FPS=20
2025-12-22 16:38:38 [INFO] Running iteration 19/60 | FPS=20
2025-12-22 16:38:39 [INFO] Running iteration 20/60 | FPS=20
2025-12-22 16:38:40 [INFO] Running iteration 21/60 | FPS=20
2025-12-22 16:38:41 [INFO] Running iteration 22/60 | FPS=20
2025-12-22 16:38:42 [INFO] Running iteration 23/60 | FPS=20
2025-12-22 16:38:42 [INFO] Running iteration 24/60 | FPS=20
2025-12-22 16:38:43 [INFO] Running iteration 25/60 | FPS=20
2025-12-22 16:38:44 [INFO] Running iteration 26/60 | FPS=20
2025-12-22 16:38:44 [INFO] Running iteration 27/60 | FPS=20
